Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
10513,Punjab,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP18152/2024-2025/140034,MOGA(Deputy Commissioner Moga),SARABJEET SINGH KHALSA,FARIDKOT(SC),15-Apr-26,Gurpreet Steel Seetring store,Payment Success,22940
10514,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/235930,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,20-Mar-26,Gagandeep Singh Sidhu,Payment Success,27720
10515,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/235935,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,20-Mar-26,Gagandeep Singh Sidhu,Payment Success,46900
10516,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/235936,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,20-Mar-26,Bikramjit Singh,Payment Success,48048
10517,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/235934,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,20-Mar-26,Bikramjit Singh,Payment Success,27720
10518,Odisha,Construction of rooms and halls in school and colleges,WS/MP18310/2025-2026/239526,Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA),AVIMANYU SETHI,BHADRAK(SC),19-Mar-26,GANESH CHANDRA SAHU,Payment Success,500000
10519,Punjab,Construction of toilet blocks,WS/MP381/2025-2026/257664,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),Shri Gurjeet Singh Aujla,AMRITSAR,24-Mar-26,LOVEJEET SINGH,Payment Success,120000
10520,Kerala,Construction of footpaths and pedestrian ways,WS/MP18305/2026-2027/182588,MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA),E.T. MOHAMMED BASHEER,MALAPPURAM,24-Jun-26,SHEMEER M,Payment Success,307420
10521,Meghalaya,Development of playfields and sports grounds,WS/MP18137/2025-2026/232565,"EAST KHASI HILLS(Deputy Commissioner, East Khasi Hills District)",ANDREW J. SYNGKON,SHILLONG,14-Apr-26,DORBAR SHNONG MAWPAT PYLLUN,Payment Success,400000
10522,Uttarakhand,Construction of community centers and community halls,WS/MP18415/2025-2026/214989,DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA),TRIVENDRA SINGH RAWAT,HARDWAR,23-Mar-26,Jai laxmi construction,Payment Success,471553
10523,Punjab,Construction of community centers and community halls,WS/MP18156/2025-2026/213130,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),CHARANJIT SINGH CHANNI,JALANDHAR(SC),25-Mar-26,R SS CEMENT STORE,Payment Success,22200
10524,Punjab,Construction of community centers and community halls,WS/MP18156/2025-2026/213130,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),CHARANJIT SINGH CHANNI,JALANDHAR(SC),25-Mar-26,BATRA TREADING COMPANY,Payment Success,99739
10525,Punjab,Construction of community centers and community halls,WS/MP18156/2025-2026/213130,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),CHARANJIT SINGH CHANNI,JALANDHAR(SC),25-Mar-26,KISHAN RAM,Payment Success,22638
10526,Punjab,Construction of community centers and community halls,WS/MP18156/2025-2026/213130,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),CHARANJIT SINGH CHANNI,JALANDHAR(SC),08-Jul-26,KISHAN RAM,Payment Success,30184
10527,Punjab,Construction of community centers and community halls,WS/MP18156/2025-2026/213130,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),CHARANJIT SINGH CHANNI,JALANDHAR(SC),25-Mar-26,AVTAR TREADING COMPANY,Payment Success,20850
10528,Punjab,Construction of community centers and community halls,WS/MP18154/2025-2026/216483,GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA),SUKHJINDER SINGH RANDHAWA,GURDASPUR,19-Jun-26,Seetal Singh and Sons,Payment Success,482322
10529,Punjab,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP18156/2025-2026/213128,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),CHARANJIT SINGH CHANNI,JALANDHAR(SC),13-Apr-26,HUNDAL TREADING COMPANY,Payment Success,43150
10530,Punjab,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP18156/2025-2026/213128,JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA),CHARANJIT SINGH CHANNI,JALANDHAR(SC),13-Apr-26,HUNDAL TREADING COMPANY,Payment Success,35900
