"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"11917","Sikkim","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18282/2025-2026/202378","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","12-Dec-2025","BANWARILALL OMKARMULL","Payment Success","294174"
"11918","Sikkim","Development of playfields and sports grounds","WS/MP18282/2024-2025/150018","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","10-Jan-2025","BANWARILALL OMKARMULL","Payment Success","1192548"
"11919","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/150019","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","19-Mar-2025","BANWARILALL OMKARMULL","Payment Success","548915"
"11920","Sikkim","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP18282/2024-2025/149168","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","24-Dec-2024","BANWARILALL OMKARMULL","Payment Success","171429"
"11921","Karnataka","Construction of boundary walls of existing public and community buildings","WS/MP18364/2024-2025/163814","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","20-Mar-2025","BANWARILALL OMKARMULL","Payment Success","1370576"
"11922","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/157893","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","20-Mar-2025","BANWARILALL OMKARMULL","Payment Success","242651"
"11923","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/157888","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","20-Mar-2025","BANWARILALL OMKARMULL","Payment Success","1714446"
"11924","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/157889","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","20-Mar-2025","BANWARILALL OMKARMULL","Payment Success","591263"
"11925","Sikkim","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18282/2025-2026/192773","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","07-Jul-2025","BANWARILALL OMKARMULL","Payment Success","601656"
"11926","Sikkim","Construction of public irrigation facilities","WS/MP18282/2025-2026/197771","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","07-Jul-2025","BANWARILALL OMKARMULL","Payment Success","179169"
"11927","Sikkim","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18282/2025-2026/192774","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","07-Jul-2025","BANWARILALL OMKARMULL","Payment Success","534666"
"11928","Sikkim","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18282/2025-2026/191304","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","07-Jul-2025","BANWARILALL OMKARMULL","Payment Success","266184"
"11929","Sikkim","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18282/2025-2026/191303","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","07-Jul-2025","BANWARILALL OMKARMULL","Payment Success","268308"
"11930","Sikkim","Development of playfields and sports grounds","WS/MP18282/2025-2026/192723","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","07-Jul-2025","BANWARILALL OMKARMULL","Payment Success","354329"
"11931","Sikkim","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18282/2025-2026/192722","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","07-Jul-2025","BANWARILALL OMKARMULL","Payment Success","593001"
"11932","Karnataka","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18364/2025-2026/175971","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","28-May-2025","BANWARILALL OMKARMULL","Payment Success","1461739"
"11933","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2025-2026/201577","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","26-Feb-2026","BDO Bhawarna Indu Goswami","Payment Success","100000"
"11934","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2025-2026/201577","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","29-Nov-2025","BDO Bhawarna Indu Goswami","Payment Success","100000"
"11935","Assam","Construction of community centers and community halls","WS/MP071/2025-2026/223153","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","17-Aug-2026","GUNIN ENTERPRISE","Payment Success","252188"
"11936","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/142886","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","21-Jan-2025","STARCARE ENTERPRISES LLP","Payment Success","75518"
"11937","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/142889","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","21-Jan-2025","STARCARE ENTERPRISES LLP","Payment Success","75518"
"11938","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/142887","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","21-Jan-2025","STARCARE ENTERPRISES LLP","Payment Success","75518"
"11939","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/142888","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","21-Jan-2025","STARCARE ENTERPRISES LLP","Payment Success","75518"
"11940","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/142891","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","21-Jan-2025","STARCARE ENTERPRISES LLP","Payment Success","75518"
"11941","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/142890","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","21-Jan-2025","STARCARE ENTERPRISES LLP","Payment Success","75518"
"11942","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/142892","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","21-Jan-2025","STARCARE ENTERPRISES LLP","Payment Success","75518"
"11943","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/142894","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","21-Jan-2025","STARCARE ENTERPRISES LLP","Payment Success","75518"
"11944","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/142893","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","21-Jan-2025","STARCARE ENTERPRISES LLP","Payment Success","75518"
"11945","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/142896","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","21-Jan-2025","STARCARE ENTERPRISES LLP","Payment Success","75518"
"11946","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/142897","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","21-Jan-2025","STARCARE ENTERPRISES LLP","Payment Success","75518"
"11947","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/142898","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","21-Jan-2025","STARCARE ENTERPRISES LLP","Payment Success","75518"
"11948","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/142895","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","21-Jan-2025","STARCARE ENTERPRISES LLP","Payment Success","75518"
"11949","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/142899","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","21-Jan-2025","STARCARE ENTERPRISES LLP","Payment Success","75518"
"11950","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/143842","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","21-Jan-2025","STARCARE ENTERPRISES LLP","Payment Success","75518"
"11951","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/143843","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","21-Jan-2025","STARCARE ENTERPRISES LLP","Payment Success","75518"
"11952","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/143844","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","21-Jan-2025","STARCARE ENTERPRISES LLP","Payment Success","75518"
"11953","Chhattisgarh","Street lights","WS/MP225/2024-2025/143845","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","21-Jan-2025","STARCARE ENTERPRISES LLP","Payment Success","75518"
"11954","Chhattisgarh","Street lights","WS/MP225/2024-2025/143846","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","21-Jan-2025","STARCARE ENTERPRISES LLP","Payment Success","75518"
"11955","Chhattisgarh","Street lights","WS/MP225/2024-2025/143847","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","21-Jan-2025","STARCARE ENTERPRISES LLP","Payment Success","75518"
"11956","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/143848","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","21-Jan-2025","STARCARE ENTERPRISES LLP","Payment Success","75518"
"11957","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/142886","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Mar-2025","STARCARE ENTERPRISES LLP","Payment Success","420940"
"11958","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/142889","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Mar-2025","STARCARE ENTERPRISES LLP","Payment Success","420940"
"11959","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/142887","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Mar-2025","STARCARE ENTERPRISES LLP","Payment Success","420940"
"11960","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/142888","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Mar-2025","STARCARE ENTERPRISES LLP","Payment Success","420940"
"11961","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/142891","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Mar-2025","STARCARE ENTERPRISES LLP","Payment Success","420940"
"11962","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/142890","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Mar-2025","STARCARE ENTERPRISES LLP","Payment Success","420940"
"11963","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/142892","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Mar-2025","STARCARE ENTERPRISES LLP","Payment Success","420940"
"11964","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/142894","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Mar-2025","STARCARE ENTERPRISES LLP","Payment Success","420940"
"11965","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/142893","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Mar-2025","STARCARE ENTERPRISES LLP","Payment Success","420940"
"11966","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/142896","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Mar-2025","STARCARE ENTERPRISES LLP","Payment Success","420940"
"11967","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/142897","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Mar-2025","STARCARE ENTERPRISES LLP","Payment Success","420940"
"11968","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/142898","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Mar-2025","STARCARE ENTERPRISES LLP","Payment Success","420940"
"11969","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/142895","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Mar-2025","STARCARE ENTERPRISES LLP","Payment Success","420940"
"11970","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/142899","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Mar-2025","STARCARE ENTERPRISES LLP","Payment Success","420940"
"11971","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/143842","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Mar-2025","STARCARE ENTERPRISES LLP","Payment Success","420940"
"11972","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/143843","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Mar-2025","STARCARE ENTERPRISES LLP","Payment Success","420940"
"11973","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/143844","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Mar-2025","STARCARE ENTERPRISES LLP","Payment Success","420940"
"11974","Chhattisgarh","Street lights","WS/MP225/2024-2025/143845","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Mar-2025","STARCARE ENTERPRISES LLP","Payment Success","420940"
"11975","Chhattisgarh","Street lights","WS/MP225/2024-2025/143846","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Mar-2025","STARCARE ENTERPRISES LLP","Payment Success","420940"
"11976","Chhattisgarh","Street lights","WS/MP225/2024-2025/143847","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Mar-2025","STARCARE ENTERPRISES LLP","Payment Success","420940"
"11977","Chhattisgarh","Lighting of public spaces","WS/MP225/2024-2025/143848","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","10-Mar-2025","STARCARE ENTERPRISES LLP","Payment Success","420940"
"11978","Madhya Pradesh","Setting up public non-conventional energy plants","WS/MP107/2024-2025/90558","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","03-Jan-2025","JABALPUR SMART CITY LIMITED","Payment Success","248629"
"11979","Madhya Pradesh","Providing drains and gutters for public drainage","WS/MP106/2024-2025/8596","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","21-Mar-2025","LODHA CONSTRUCTION","Payment Success","551625"
"11980","Madhya Pradesh","Providing drains and gutters for public drainage","WS/MP106/2024-2025/8596","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","31-Dec-2025","LODHA CONSTRUCTION","Payment Success","448375"
"11981","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18292/2025-2026/219434","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030)","Elected MP","10-Mar-2026","YOGESH MAROTIRAO DASARWAD","Payment Success","1998000"
"11982","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP850/2024-2025/134499","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","17-Feb-2025","CHANDRA SINGH RAWAT","Payment Success","488246"
"11983","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP850/2024-2025/134855","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","30-Jan-2025","CHANDRA SINGH RAWAT","Payment Success","700000"
"11984","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP850/2024-2025/134499","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","02-Apr-2025","CHANDRA SINGH RAWAT","Payment Success","209249"
"11985","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP850/2024-2025/134855","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","02-Apr-2025","CHANDRA SINGH RAWAT","Payment Success","294945"
"11986","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2024-2025/134498","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","02-Apr-2025","CHANDRA SINGH RAWAT","Payment Success","238075"
"11987","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2024-2025/134498","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","20-Feb-2025","CHANDRA SINGH RAWAT","Payment Success","555508"
"11988","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2025-2026/174620","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","11-Dec-2025","CHANDRA SINGH RAWAT","Payment Success","149675"
"11989","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2025-2026/174620","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","05-Aug-2025","CHANDRA SINGH RAWAT","Payment Success","349241"
"11990","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2025-2026/248511","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","21-Jul-2026","CHANDRA SINGH RAWAT","Payment Success","222584"
"11991","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP850/2025-2026/158952","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","09-Oct-2025","GURU KRIPA ASSOCIATES","Payment Success","1048164"
"11992","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP850/2025-2026/158952","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","12-Mar-2026","GURU KRIPA ASSOCIATES","Payment Success","449213"
"11993","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP850/2024-2025/133315","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","02-Apr-2025","GURU KRIPA ASSOCIATES","Payment Success","299761"
"11994","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP850/2024-2025/133314","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","20-Feb-2025","GURU KRIPA ASSOCIATES","Payment Success","1049108"
"11995","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP850/2024-2025/133315","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","20-Feb-2025","GURU KRIPA ASSOCIATES","Payment Success","699442"
"11996","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP850/2024-2025/133314","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","02-Apr-2025","GURU KRIPA ASSOCIATES","Payment Success","449617"
"11997","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP850/2025-2026/248510","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","28-Jul-2026","GURU KRIPA ASSOCIATES","Payment Success","1400000"
"11998","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP112/2024-2025/133533","KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA)","Shri Dhananjay Bhimrao Mahadik (2022-28) (2022-2028)","Elected MP","12-Jan-2025","Vishal Balawant Patil","Payment Success","1500000"
"11999","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP204/2024-2025/119111","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","13-Oct-2025","RATAN SINGH","Payment Success","366289"
"12000","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP204/2024-2025/119111","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","13-Oct-2025","RATAN SINGH","Payment Success","33211"
"12001","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP204/2024-2025/119111","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","11-Dec-2024","RATAN SINGH","Payment Success","600000"
"12002","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP102/2024-2025/143622","KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","02-May-2025","Kunhamu M K","Payment Success","925424"
"12003","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP171/2024-2025/148943","NALGONDA(DISTRICT COLLECTOR NALGONDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","03-Jul-2025","Bommaraboina Ramesh","Payment Success","470523"
"12004","Telangana","Construction of community centers and community halls","WS/MP171/2024-2025/148942","NALGONDA(DISTRICT COLLECTOR NALGONDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","03-Jul-2025","Bommaraboina Ramesh","Payment Success","498000"
"12005","Rajasthan","Installing hand pumps","WS/MP146/2024-2025/138523","DHOLPUR(DISTRICT COLLECTOR DHOLPUR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","03-Apr-2025","Rajesh Jain","Payment Success","3000"
"12006","Rajasthan","Installing hand pumps","WS/MP146/2024-2025/138521","DHOLPUR(DISTRICT COLLECTOR DHOLPUR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","03-Apr-2025","Manisha","Payment Success","3000"
"12007","Rajasthan","Installing hand pumps","WS/MP146/2024-2025/138896","DHOLPUR(DISTRICT COLLECTOR DHOLPUR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","03-Apr-2025","manoj kumar","Payment Success","3000"
"12008","Rajasthan","Installing hand pumps","WS/MP146/2024-2025/138707","DHOLPUR(DISTRICT COLLECTOR DHOLPUR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","03-Apr-2025","Santhosh Kumari","Payment Success","3000"
"12009","Rajasthan","Installing hand pumps","WS/MP146/2024-2025/138893","DHOLPUR(DISTRICT COLLECTOR DHOLPUR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","03-Apr-2025","Brijmohan Singh","Payment Success","3000"
"12010","Rajasthan","Installing hand pumps","WS/MP146/2024-2025/138891","DHOLPUR(DISTRICT COLLECTOR DHOLPUR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","03-Apr-2025","chandrawali","Payment Success","3000"
